Depth,Neutron_por
0,25
2,26
4,27
6,28
8,29
10,29
12,30
14,30
16,30
18,30
20,30
22,29
24,29
26,28
28,27
30,26
32,25
34,24
36,23
38,22
40,21
42,21
44,20
46,20
48,20
50,20
52,21
54,21
56,22
58,23
60,24
62,25
64,26
66,27
68,28
70,29
72,29
74,30
76,30
78,30
80,30
82,30
84,30
86,29
88,28
90,27
92,26
94,25
96,24
98,23
100,19
102,19
104,20
106,20
108,20
110,21
112,21
114,21
116,21
118,21
120,21
122,21
124,21
126,21
128,20
130,20
132,20
134,19
136,19
138,18
140,18
142,17
144,17
146,16
148,16
150,15
152,15
154,14
156,14
158,14
160,14
162,13
164,13
166,13
168,13
170,14
172,14
174,14
176,14
178,15
180,15
182,16
184,16
186,17
188,17
190,18
192,18
194,19
196,19
198,20
200,20
202,20
204,21
206,21
208,21
210,21
212,21
214,21
216,21
218,21
220,21
222,20
224,20
226,20
228,19
230,19
232,18
234,18
236,17
238,17
240,16
242,16
244,15
246,15
248,14
250,10
252,11
254,11
256,11
258,11
260,12
262,12
264,12
266,12
268,13
270,13
272,13
274,13
276,13
278,13
280,13
282,13
284,13
286,13
288,13
290,13
292,13
294,13
296,13
298,13
300,12
302,12
304,12
306,12
308,11
310,11
312,11
314,10
316,10
318,10
320,10
322,9
324,9
326,9
328,9
330,8
332,8
334,8
336,8
338,8
340,8
342,8
344,7
346,7
348,7
350,8
352,8
354,8
356,8
358,8
360,8
362,8
364,9
366,9
368,9
370,9
372,10
374,10
376,10
378,11
380,11
382,11
384,12
386,12
388,12
390,12
392,13
394,13
396,13
398,13
400,13
